"STATISTIC Label","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2012Q1","Single house","Cavan County Council","Number","19"
"New Dwelling Completion","2012Q1","Single house","Cork County Council","Number","113"
"New Dwelling Completion","2012Q1","Single house","Carlow County Council","Number","16"
"New Dwelling Completion","2012Q1","Single house","Dublin City Council","Number","7"
"New Dwelling Completion","2012Q1","Single house","Dún Laoghaire Rathdown County Council","Number","7"
"New Dwelling Completion","2012Q1","Single house","Donegal County Council","Number","69"
"New Dwelling Completion","2012Q1","Single house","Fingal County Council","Number","8"
"New Dwelling Completion","2012Q1","Single house","Galway County Council","Number","66"
"New Dwelling Completion","2012Q1","Single house","Galway City Council","Number","4"
"New Dwelling Completion","2012Q1","Single house","Kildare County Council","Number","24"
"New Dwelling Completion","2012Q1","Single house","Kilkenny County Council","Number","26"
"New Dwelling Completion","2012Q1","Single house","Kerry County Council","Number","41"
"New Dwelling Completion","2012Q1","Single house","Longford County Council","Number","7"
"New Dwelling Completion","2012Q1","Single house","Louth County Council","Number","13"
"New Dwelling Completion","2012Q1","Single house","Limerick City & County Council","Number","21"
"New Dwelling Completion","2012Q1","Single house","Leitrim County Council","Number","15"
"New Dwelling Completion","2012Q1","Single house","Laois County Council","Number","19"
"New Dwelling Completion","2012Q1","Single house","Meath County Council","Number","35"
"New Dwelling Completion","2012Q1","Single house","Monaghan County Council","Number","20"
"New Dwelling Completion","2012Q1","Single house","Mayo County Council","Number","35"
"New Dwelling Completion","2012Q1","Single house","Offaly County Council","Number","15"
"New Dwelling Completion","2012Q1","Single house","Roscommon County Council","Number","17"
"New Dwelling Completion","2012Q1","Single house","South Dublin County Council","Number","4"
"New Dwelling Completion","2012Q1","Single house","Sligo County Council","Number","27"
"New Dwelling Completion","2012Q1","Single house","Tipperary County Council","Number","31"
"New Dwelling Completion","2012Q1","Single house","Waterford City & County Council","Number","11"
"New Dwelling Completion","2012Q1","Single house","Westmeath County Council","Number","24"
"New Dwelling Completion","2012Q1","Single house","Wicklow County Council","Number","18"
"New Dwelling Completion","2012Q1","Single house","Wexford County Council","Number","45"
"New Dwelling Completion","2012Q1","Single house","Ireland","Number","797"
"New Dwelling Completion","2012Q1","Scheme house","Cork City Council","Number","13"
"New Dwelling Completion","2012Q1","Scheme house","Clare County Council","Number","9"
"New Dwelling Completion","2012Q1","Scheme house","Cavan County Council","Number","1"
"New Dwelling Completion","2012Q1","Scheme house","Cork County Council","Number","9"
"New Dwelling Completion","2012Q1","Scheme house","Carlow County Council","Number","1"
"New Dwelling Completion","2012Q1","Scheme house","Dublin City Council","Number","3"
"New Dwelling Completion","2012Q1","Scheme house","Dún Laoghaire Rathdown County Council","Number","6"
"New Dwelling Completion","2012Q1","Scheme house","Donegal County Council","Number","35"
"New Dwelling Completion","2012Q1","Scheme house","Fingal County Council","Number","4"
"New Dwelling Completion","2012Q1","Scheme house","Galway County Council","Number","4"
"New Dwelling Completion","2012Q1","Scheme house","Galway City Council","Number","0"
"New Dwelling Completion","2012Q1","Scheme house","Kildare County Council","Number","19"
"New Dwelling Completion","2012Q1","Scheme house","Kilkenny County Council","Number","0"
"New Dwelling Completion","2012Q1","Scheme house","Kerry County Council","Number","4"
"New Dwelling Completion","2012Q1","Scheme house","Longford County Council","Number","10"
"New Dwelling Completion","2012Q1","Scheme house","Louth County Council","Number","5"
"New Dwelling Completion","2012Q1","Scheme house","Limerick City & County Council","Number","6"
"New Dwelling Completion","2012Q1","Scheme house","Leitrim County Council","Number","0"
"New Dwelling Completion","2012Q1","Scheme house","Laois County Council","Number","4"
"New Dwelling Completion","2012Q1","Scheme house","Meath County Council","Number","5"
"New Dwelling Completion","2012Q1","Scheme house","Monaghan County Council","Number","21"
"New Dwelling Completion","2012Q1","Scheme house","Mayo County Council","Number","6"
"New Dwelling Completion","2012Q1","Scheme house","Offaly County Council","Number","0"
"New Dwelling Completion","2012Q1","Scheme house","Roscommon County Council","Number","1"
"New Dwelling Completion","2012Q1","Scheme house","South Dublin County Council","Number","7"
"New Dwelling Completion","2012Q1","Scheme house","Sligo County Council","Number","17"
"New Dwelling Completion","2012Q1","Scheme house","Tipperary County Council","Number","9"
"New Dwelling Completion","2012Q1","Scheme house","Waterford City & County Council","Number","6"
"New Dwelling Completion","2012Q1","Scheme house","Westmeath County Council","Number","0"
"New Dwelling Completion","2012Q1","Scheme house","Wicklow County Council","Number","4"
"New Dwelling Completion","2012Q1","Scheme house","Wexford County Council","Number","2"
"New Dwelling Completion","2012Q1","Scheme house","Ireland","Number","211"
"New Dwelling Completion","2012Q1","Apartment","Cork City Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Clare County Council","Number","2"
"New Dwelling Completion","2012Q1","Apartment","Cavan County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Cork County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Carlow County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Dublin City Council","Number","47"
"New Dwelling Completion","2012Q1","Apartment","Dún Laoghaire Rathdown County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Donegal County Council","Number","10"
"New Dwelling Completion","2012Q1","Apartment","Fingal County Council","Number","17"
"New Dwelling Completion","2012Q1","Apartment","Galway County Council","Number","7"
"New Dwelling Completion","2012Q1","Apartment","Galway City Council","Number","2"
"New Dwelling Completion","2012Q1","Apartment","Kildare County Council","Number","8"
"New Dwelling Completion","2012Q1","Apartment","Kilkenny County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Kerry County Council","Number","1"
"New Dwelling Completion","2012Q1","Apartment","Longford County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Louth County Council","Number","5"
"New Dwelling Completion","2012Q1","Apartment","Limerick City & County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Leitrim County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Laois County Council","Number","1"
"New Dwelling Completion","2012Q1","Apartment","Meath County Council","Number","1"
"New Dwelling Completion","2012Q1","Apartment","Monaghan County Council","Number","1"
"New Dwelling Completion","2012Q1","Apartment","Mayo County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Offaly County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Roscommon County Council","Number","1"
"New Dwelling Completion","2012Q1","Apartment","South Dublin County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Sligo County Council","Number","18"
"New Dwelling Completion","2012Q1","Apartment","Tipperary County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Waterford City & County Council","Number","1"
"New Dwelling Completion","2012Q1","Apartment","Westmeath County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Wicklow County Council","Number","1"
"New Dwelling Completion","2012Q1","Apartment","Wexford County Council","Number","0"
"New Dwelling Completion","2012Q1","Apartment","Ireland","Number","123"
"New Dwelling Completion","2012Q1","All house types","Cork City Council","Number","20"
"New Dwelling Completion","2012Q1","All house types","Clare County Council","Number","44"
"New Dwelling Completion","2012Q1","All house types","Cavan County Council","Number","20"
"New Dwelling Completion","2012Q1","All house types","Cork County Council","Number","122"
"New Dwelling Completion","2012Q1","All house types","Carlow County Council","Number","17"
"New Dwelling Completion","2012Q1","All house types","Dublin City Council","Number","57"
"New Dwelling Completion","2012Q1","All house types","Dún Laoghaire Rathdown County Council","Number","13"
"New Dwelling Completion","2012Q1","All house types","Donegal County Council","Number","114"
"New Dwelling Completion","2012Q1","All house types","Fingal County Council","Number","29"
"New Dwelling Completion","2012Q1","All house types","Galway County Council","Number","77"
"New Dwelling Completion","2012Q1","All house types","Galway City Council","Number","6"
"New Dwelling Completion","2012Q1","All house types","Kildare County Council","Number","51"
"New Dwelling Completion","2012Q1","All house types","Kilkenny County Council","Number","26"
"New Dwelling Completion","2012Q1","All house types","Kerry County Council","Number","46"
"New Dwelling Completion","2012Q1","All house types","Longford County Council","Number","17"
"New Dwelling Completion","2012Q1","All house types","Louth County Council","Number","23"
"New Dwelling Completion","2012Q1","All house types","Limerick City & County Council","Number","27"
"New Dwelling Completion","2012Q1","All house types","Leitrim County Council","Number","15"
"New Dwelling Completion","2012Q1","All house types","Laois County Council","Number","24"
"New Dwelling Completion","2012Q1","All house types","Meath County Council","Number","41"
"New Dwelling Completion","2012Q1","All house types","Monaghan County Council","Number","42"
"New Dwelling Completion","2012Q1","All house types","Mayo County Council","Number","41"
"New Dwelling Completion","2012Q1","All house types","Offaly County Council","Number","15"
"New Dwelling Completion","2012Q1","All house types","Roscommon County Council","Number","19"
"New Dwelling Completion","2012Q1","All house types","South Dublin County Council","Number","11"
"New Dwelling Completion","2012Q1","All house types","Sligo County Council","Number","62"
"New Dwelling Completion","2012Q1","All house types","Tipperary County Council","Number","40"
"New Dwelling Completion","2012Q1","All house types","Waterford City & County Council","Number","18"
"New Dwelling Completion","2012Q1","All house types","Westmeath County Council","Number","24"
"New Dwelling Completion","2012Q1","All house types","Wicklow County Council","Number","23"
"New Dwelling Completion","2012Q1","All house types","Wexford County Council","Number","47"
"New Dwelling Completion","2012Q1","All house types","Ireland","Number","1131"
"New Dwelling Completion","2012Q2","Single house","Cork City Council","Number","9"
"New Dwelling Completion","2012Q2","Single house","Clare County Council","Number","38"
"New Dwelling Completion","2012Q2","Single house","Cavan County Council","Number","22"
"New Dwelling Completion","2012Q2","Single house","Cork County Council","Number","103"
"New Dwelling Completion","2012Q2","Single house","Carlow County Council","Number","9"
"New Dwelling Completion","2012Q2","Single house","Dublin City Council","Number","11"
"New Dwelling Completion","2012Q2","Single house","Dún Laoghaire Rathdown County Council","Number","8"
"New Dwelling Completion","2012Q2","Single house","Donegal County Council","Number","65"
"New Dwelling Completion","2012Q2","Single house","Fingal County Council","Number","13"
"New Dwelling Completion","2012Q2","Single house","Galway County Council","Number","69"
"New Dwelling Completion","2012Q2","Single house","Galway City Council","Number","4"
"New Dwelling Completion","2012Q2","Single house","Kildare County Council","Number","32"
"New Dwelling Completion","2012Q2","Single house","Kilkenny County Council","Number","18"
"New Dwelling Completion","2012Q2","Single house","Kerry County Council","Number","46"
"New Dwelling Completion","2012Q2","Single house","Longford County Council","Number","11"
"New Dwelling Completion","2012Q2","Single house","Louth County Council","Number","22"
"New Dwelling Completion","2012Q2","Single house","Limerick City & County Council","Number","35"
"New Dwelling Completion","2012Q2","Single house","Leitrim County Council","Number","7"
"New Dwelling Completion","2012Q2","Single house","Laois County Council","Number","27"
"New Dwelling Completion","2012Q2","Single house","Meath County Council","Number","38"
"New Dwelling Completion","2012Q2","Single house","Monaghan County Council","Number","18"
"New Dwelling Completion","2012Q2","Single house","Mayo County Council","Number","50"
"New Dwelling Completion","2012Q2","Single house","Offaly County Council","Number","18"
"New Dwelling Completion","2012Q2","Single house","Roscommon County Council","Number","24"
"New Dwelling Completion","2012Q2","Single house","South Dublin County Council","Number","6"
"New Dwelling Completion","2012Q2","Single house","Sligo County Council","Number","20"
"New Dwelling Completion","2012Q2","Single house","Tipperary County Council","Number","29"
"New Dwelling Completion","2012Q2","Single house","Waterford City & County Council","Number","14"
"New Dwelling Completion","2012Q2","Single house","Westmeath County Council","Number","18"
"New Dwelling Completion","2012Q2","Single house","Wicklow County Council","Number","19"
"New Dwelling Completion","2012Q2","Single house","Wexford County Council","Number","44"
"New Dwelling Completion","2012Q2","Single house","Ireland","Number","847"
"New Dwelling Completion","2012Q2","Scheme house","Cork City Council","Number","18"
"New Dwelling Completion","2012Q2","Scheme house","Clare County Council","Number","0"
"New Dwelling Completion","2012Q2","Scheme house","Cavan County Council","Number","0"
"New Dwelling Completion","2012Q2","Scheme house","Cork County Council","Number","12"
"New Dwelling Completion","2012Q2","Scheme house","Carlow County Council","Number","1"
"New Dwelling Completion","2012Q2","Scheme house","Dublin City Council","Number","1"
"New Dwelling Completion","2012Q2","Scheme house","Dún Laoghaire Rathdown County Council","Number","3"
"New Dwelling Completion","2012Q2","Scheme house","Donegal County Council","Number","3"
"New Dwelling Completion","2012Q2","Scheme house","Fingal County Council","Number","10"
"New Dwelling Completion","2012Q2","Scheme house","Galway County Council","Number","2"
"New Dwelling Completion","2012Q2","Scheme house","Galway City Council","Number","0"
"New Dwelling Completion","2012Q2","Scheme house","Kildare County Council","Number","12"
"New Dwelling Completion","2012Q2","Scheme house","Kilkenny County Council","Number","0"
"New Dwelling Completion","2012Q2","Scheme house","Kerry County Council","Number","2"
"New Dwelling Completion","2012Q2","Scheme house","Longford County Council","Number","13"
"New Dwelling Completion","2012Q2","Scheme house","Louth County Council","Number","2"
"New Dwelling Completion","2012Q2","Scheme house","Limerick City & County Council","Number","12"
"New Dwelling Completion","2012Q2","Scheme house","Leitrim County Council","Number","0"
"New Dwelling Completion","2012Q2","Scheme house","Laois County Council","Number","16"
"New Dwelling Completion","2012Q2","Scheme house","Meath County Council","Number","7"
"New Dwelling Completion","2012Q2","Scheme house","Monaghan County Council","Number","0"
"New Dwelling Completion","2012Q2","Scheme house","Mayo County Council","Number","6"
"New Dwelling Completion","2012Q2","Scheme house","Offaly County Council","Number","0"
"New Dwelling Completion","2012Q2","Scheme house","Roscommon County Council","Number","1"
"New Dwelling Completion","2012Q2","Scheme house","South Dublin County Council","Number","16"
"New Dwelling Completion","2012Q2","Scheme house","Sligo County Council","Number","33"
"New Dwelling Completion","2012Q2","Scheme house","Tipperary County Council","Number","1"
"New Dwelling Completion","2012Q2","Scheme house","Waterford City & County Council","Number","2"
"New Dwelling Completion","2012Q2","Scheme house","Westmeath County Council","Number","0"
"New Dwelling Completion","2012Q2","Scheme house","Wicklow County Council","Number","17"
"New Dwelling Completion","2012Q2","Scheme house","Wexford County Council","Number","4"
"New Dwelling Completion","2012Q2","Scheme house","Ireland","Number","194"
"New Dwelling Completion","2012Q2","Apartment","Cork City Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Clare County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Cavan County Council","Number","1"
"New Dwelling Completion","2012Q2","Apartment","Cork County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Carlow County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Dublin City Council","Number","25"
"New Dwelling Completion","2012Q2","Apartment","Dún Laoghaire Rathdown County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Donegal County Council","Number","6"
"New Dwelling Completion","2012Q2","Apartment","Fingal County Council","Number","6"
"New Dwelling Completion","2012Q2","Apartment","Galway County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Galway City Council","Number","3"
"New Dwelling Completion","2012Q2","Apartment","Kildare County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Kilkenny County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Kerry County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Longford County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Louth County Council","Number","4"
"New Dwelling Completion","2012Q2","Apartment","Limerick City & County Council","Number","8"
"New Dwelling Completion","2012Q2","Apartment","Leitrim County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Laois County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Meath County Council","Number","2"
"New Dwelling Completion","2012Q2","Apartment","Monaghan County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Mayo County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Offaly County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Roscommon County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","South Dublin County Council","Number","1"
"New Dwelling Completion","2012Q2","Apartment","Sligo County Council","Number","14"
"New Dwelling Completion","2012Q2","Apartment","Tipperary County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Waterford City & County Council","Number","3"
"New Dwelling Completion","2012Q2","Apartment","Westmeath County Council","Number","0"
"New Dwelling Completion","2012Q2","Apartment","Wicklow County Council","Number","2"
"New Dwelling Completion","2012Q2","Apartment","Wexford County Council","Number","1"
"New Dwelling Completion","2012Q2","Apartment","Ireland","Number","76"
"New Dwelling Completion","2012Q2","All house types","Cork City Council","Number","27"
"New Dwelling Completion","2012Q2","All house types","Clare County Council","Number","38"
"New Dwelling Completion","2012Q2","All house types","Cavan County Council","Number","23"
"New Dwelling Completion","2012Q2","All house types","Cork County Council","Number","115"
"New Dwelling Completion","2012Q2","All house types","Carlow County Council","Number","10"
"New Dwelling Completion","2012Q2","All house types","Dublin City Council","Number","37"
"New Dwelling Completion","2012Q2","All house types","Dún Laoghaire Rathdown County Council","Number","11"
"New Dwelling Completion","2012Q2","All house types","Donegal County Council","Number","74"
"New Dwelling Completion","2012Q2","All house types","Fingal County Council","Number","29"
"New Dwelling Completion","2012Q2","All house types","Galway County Council","Number","71"
"New Dwelling Completion","2012Q2","All house types","Galway City Council","Number","7"
"New Dwelling Completion","2012Q2","All house types","Kildare County Council","Number","44"
"New Dwelling Completion","2012Q2","All house types","Kilkenny County Council","Number","18"
"New Dwelling Completion","2012Q2","All house types","Kerry County Council","Number","48"
"New Dwelling Completion","2012Q2","All house types","Longford County Council","Number","24"
"New Dwelling Completion","2012Q2","All house types","Louth County Council","Number","28"
"New Dwelling Completion","2012Q2","All house types","Limerick City & County Council","Number","55"
"New Dwelling Completion","2012Q2","All house types","Leitrim County Council","Number","7"
"New Dwelling Completion","2012Q2","All house types","Laois County Council","Number","43"
"New Dwelling Completion","2012Q2","All house types","Meath County Council","Number","47"
"New Dwelling Completion","2012Q2","All house types","Monaghan County Council","Number","18"
"New Dwelling Completion","2012Q2","All house types","Mayo County Council","Number","56"
"New Dwelling Completion","2012Q2","All house types","Offaly County Council","Number","18"
"New Dwelling Completion","2012Q2","All house types","Roscommon County Council","Number","25"
"New Dwelling Completion","2012Q2","All house types","South Dublin County Council","Number","23"
"New Dwelling Completion","2012Q2","All house types","Sligo County Council","Number","67"
"New Dwelling Completion","2012Q2","All house types","Tipperary County Council","Number","30"
"New Dwelling Completion","2012Q2","All house types","Waterford City & County Council","Number","19"
"New Dwelling Completion","2012Q2","All house types","Westmeath County Council","Number","18"
"New Dwelling Completion","2012Q2","All house types","Wicklow County Council","Number","38"
"New Dwelling Completion","2012Q2","All house types","Wexford County Council","Number","49"
"New Dwelling Completion","2012Q2","All house types","Ireland","Number","1117"
"New Dwelling Completion","2012Q3","Single house","Cork City Council","Number","6"
"New Dwelling Completion","2012Q3","Single house","Clare County Council","Number","38"
"New Dwelling Completion","2012Q3","Single house","Cavan County Council","Number","23"
"New Dwelling Completion","2012Q3","Single house","Cork County Council","Number","102"
"New Dwelling Completion","2012Q3","Single house","Carlow County Council","Number","11"
"New Dwelling Completion","2012Q3","Single house","Dublin City Council","Number","8"
"New Dwelling Completion","2012Q3","Single house","Dún Laoghaire Rathdown County Council","Number","12"
"New Dwelling Completion","2012Q3","Single house","Donegal County Council","Number","83"
"New Dwelling Completion","2012Q3","Single house","Fingal County Council","Number","15"
"New Dwelling Completion","2012Q3","Single house","Galway County Council","Number","69"
"New Dwelling Completion","2012Q3","Single house","Galway City Council","Number","1"
"New Dwelling Completion","2012Q3","Single house","Kildare County Council","Number","27"
"New Dwelling Completion","2012Q3","Single house","Kilkenny County Council","Number","21"
"New Dwelling Completion","2012Q3","Single house","Kerry County Council","Number","39"
"New Dwelling Completion","2012Q3","Single house","Longford County Council","Number","16"
"New Dwelling Completion","2012Q3","Single house","Louth County Council","Number","20"
"New Dwelling Completion","2012Q3","Single house","Limerick City & County Council","Number","33"
"New Dwelling Completion","2012Q3","Single house","Leitrim County Council","Number","9"
"New Dwelling Completion","2012Q3","Single house","Laois County Council","Number","22"
"New Dwelling Completion","2012Q3","Single house","Meath County Council","Number","31"
"New Dwelling Completion","2012Q3","Single house","Monaghan County Council","Number","26"
"New Dwelling Completion","2012Q3","Single house","Mayo County Council","Number","53"
"New Dwelling Completion","2012Q3","Single house","Offaly County Council","Number","18"
"New Dwelling Completion","2012Q3","Single house","Roscommon County Council","Number","14"
"New Dwelling Completion","2012Q3","Single house","South Dublin County Council","Number","6"
"New Dwelling Completion","2012Q3","Single house","Sligo County Council","Number","22"
"New Dwelling Completion","2012Q3","Single house","Tipperary County Council","Number","48"
"New Dwelling Completion","2012Q3","Single house","Waterford City & County Council","Number","17"
"New Dwelling Completion","2012Q3","Single house","Westmeath County Council","Number","20"
"New Dwelling Completion","2012Q3","Single house","Wicklow County Council","Number","23"
"New Dwelling Completion","2012Q3","Single house","Wexford County Council","Number","35"
"New Dwelling Completion","2012Q3","Single house","Ireland","Number","868"
"New Dwelling Completion","2012Q3","Scheme house","Cork City Council","Number","12"
"New Dwelling Completion","2012Q3","Scheme house","Clare County Council","Number","1"
"New Dwelling Completion","2012Q3","Scheme house","Cavan County Council","Number","0"
"New Dwelling Completion","2012Q3","Scheme house","Cork County Council","Number","26"
"New Dwelling Completion","2012Q3","Scheme house","Carlow County Council","Number","0"
"New Dwelling Completion","2012Q3","Scheme house","Dublin City Council","Number","25"
"New Dwelling Completion","2012Q3","Scheme house","Dún Laoghaire Rathdown County Council","Number","20"
"New Dwelling Completion","2012Q3","Scheme house","Donegal County Council","Number","9"
"New Dwelling Completion","2012Q3","Scheme house","Fingal County Council","Number","8"
"New Dwelling Completion","2012Q3","Scheme house","Galway County Council","Number","1"
"New Dwelling Completion","2012Q3","Scheme house","Galway City Council","Number","0"
"New Dwelling Completion","2012Q3","Scheme house","Kildare County Council","Number","15"
"New Dwelling Completion","2012Q3","Scheme house","Kilkenny County Council","Number","0"
"New Dwelling Completion","2012Q3","Scheme house","Kerry County Council","Number","1"
"New Dwelling Completion","2012Q3","Scheme house","Longford County Council","Number","13"
"New Dwelling Completion","2012Q3","Scheme house","Louth County Council","Number","39"
"New Dwelling Completion","2012Q3","Scheme house","Limerick City & County Council","Number","0"
"New Dwelling Completion","2012Q3","Scheme house","Leitrim County Council","Number","3"
"New Dwelling Completion","2012Q3","Scheme house","Laois County Council","Number","8"
"New Dwelling Completion","2012Q3","Scheme house","Meath County Council","Number","10"
"New Dwelling Completion","2012Q3","Scheme house","Monaghan County Council","Number","1"
"New Dwelling Completion","2012Q3","Scheme house","Mayo County Council","Number","0"
"New Dwelling Completion","2012Q3","Scheme house","Offaly County Council","Number","2"
"New Dwelling Completion","2012Q3","Scheme house","Roscommon County Council","Number","2"
"New Dwelling Completion","2012Q3","Scheme house","South Dublin County Council","Number","13"
"New Dwelling Completion","2012Q3","Scheme house","Sligo County Council","Number","0"
"New Dwelling Completion","2012Q3","Scheme house","Tipperary County Council","Number","9"
"New Dwelling Completion","2012Q3","Scheme house","Waterford City & County Council","Number","5"
"New Dwelling Completion","2012Q3","Scheme house","Westmeath County Council","Number","0"
"New Dwelling Completion","2012Q3","Scheme house","Wicklow County Council","Number","17"
"New Dwelling Completion","2012Q3","Scheme house","Wexford County Council","Number","4"
"New Dwelling Completion","2012Q3","Scheme house","Ireland","Number","244"
"New Dwelling Completion","2012Q3","Apartment","Cork City Council","Number","8"
"New Dwelling Completion","2012Q3","Apartment","Clare County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Cavan County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Cork County Council","Number","1"
"New Dwelling Completion","2012Q3","Apartment","Carlow County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Dublin City Council","Number","35"
"New Dwelling Completion","2012Q3","Apartment","Dún Laoghaire Rathdown County Council","Number","1"
"New Dwelling Completion","2012Q3","Apartment","Donegal County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Fingal County Council","Number","1"
"New Dwelling Completion","2012Q3","Apartment","Galway County Council","Number","2"
"New Dwelling Completion","2012Q3","Apartment","Galway City Council","Number","3"
"New Dwelling Completion","2012Q3","Apartment","Kildare County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Kilkenny County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Kerry County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Longford County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Louth County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Limerick City & County Council","Number","14"
"New Dwelling Completion","2012Q3","Apartment","Leitrim County Council","Number","1"
"New Dwelling Completion","2012Q3","Apartment","Laois County Council","Number","1"
"New Dwelling Completion","2012Q3","Apartment","Meath County Council","Number","1"
"New Dwelling Completion","2012Q3","Apartment","Monaghan County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Mayo County Council","Number","1"
"New Dwelling Completion","2012Q3","Apartment","Offaly County Council","Number","3"
"New Dwelling Completion","2012Q3","Apartment","Roscommon County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","South Dublin County Council","Number","1"
"New Dwelling Completion","2012Q3","Apartment","Sligo County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Tipperary County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Waterford City & County Council","Number","1"
"New Dwelling Completion","2012Q3","Apartment","Westmeath County Council","Number","1"
"New Dwelling Completion","2012Q3","Apartment","Wicklow County Council","Number","18"
"New Dwelling Completion","2012Q3","Apartment","Wexford County Council","Number","0"
"New Dwelling Completion","2012Q3","Apartment","Ireland","Number","93"
"New Dwelling Completion","2012Q3","All house types","Cork City Council","Number","26"
"New Dwelling Completion","2012Q3","All house types","Clare County Council","Number","39"
"New Dwelling Completion","2012Q3","All house types","Cavan County Council","Number","23"
"New Dwelling Completion","2012Q3","All house types","Cork County Council","Number","129"
"New Dwelling Completion","2012Q3","All house types","Carlow County Council","Number","11"
"New Dwelling Completion","2012Q3","All house types","Dublin City Council","Number","68"
"New Dwelling Completion","2012Q3","All house types","Dún Laoghaire Rathdown County Council","Number","33"
"New Dwelling Completion","2012Q3","All house types","Donegal County Council","Number","92"
"New Dwelling Completion","2012Q3","All house types","Fingal County Council","Number","24"
"New Dwelling Completion","2012Q3","All house types","Galway County Council","Number","72"
"New Dwelling Completion","2012Q3","All house types","Galway City Council","Number","4"
"New Dwelling Completion","2012Q3","All house types","Kildare County Council","Number","42"
"New Dwelling Completion","2012Q3","All house types","Kilkenny County Council","Number","21"
"New Dwelling Completion","2012Q3","All house types","Kerry County Council","Number","40"
"New Dwelling Completion","2012Q3","All house types","Longford County Council","Number","29"
"New Dwelling Completion","2012Q3","All house types","Louth County Council","Number","59"
"New Dwelling Completion","2012Q3","All house types","Limerick City & County Council","Number","47"
"New Dwelling Completion","2012Q3","All house types","Leitrim County Council","Number","13"
"New Dwelling Completion","2012Q3","All house types","Laois County Council","Number","31"
"New Dwelling Completion","2012Q3","All house types","Meath County Council","Number","42"
"New Dwelling Completion","2012Q3","All house types","Monaghan County Council","Number","27"
"New Dwelling Completion","2012Q3","All house types","Mayo County Council","Number","54"
"New Dwelling Completion","2012Q3","All house types","Offaly County Council","Number","23"
"New Dwelling Completion","2012Q3","All house types","Roscommon County Council","Number","16"
"New Dwelling Completion","2012Q3","All house types","South Dublin County Council","Number","20"
"New Dwelling Completion","2012Q3","All house types","Sligo County Council","Number","22"
"New Dwelling Completion","2012Q3","All house types","Tipperary County Council","Number","57"
"New Dwelling Completion","2012Q3","All house types","Waterford City & County Council","Number","23"
"New Dwelling Completion","2012Q3","All house types","Westmeath County Council","Number","21"
"New Dwelling Completion","2012Q3","All house types","Wicklow County Council","Number","58"
"New Dwelling Completion","2012Q3","All house types","Wexford County Council","Number","39"
"New Dwelling Completion","2012Q3","All house types","Ireland","Number","1205"
"New Dwelling Completion","2012Q4","Single house","Cork City Council","Number","9"
"New Dwelling Completion","2012Q4","Single house","Clare County Council","Number","37"
"New Dwelling Completion","2012Q4","Single house","Cavan County Council","Number","32"
"New Dwelling Completion","2012Q4","Single house","Cork County Council","Number","118"
